time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-03T09:41:37.870Z,37.2146667,-97.9808333,4.76,1.96,ml,21,71,0.01439,0.06,ismpkansas,ismpkansas70149963,2015-11-03T19:11:33.300Z,"8km NNE of Anthony, Kansas",earthquake
2015-11-03T05:25:01.470Z,37.0556667,-97.5326667,6.24,2.13,ml,21,104,0.06125,0.04,ismpkansas,ismpkansas70149938,2015-11-03T18:48:13.104Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-03T03:58:18.670Z,37.057,-97.5333333,6.33,1.91,ml,22,104,0.06256,0.03,ismpkansas,ismpkansas70149903,2015-11-03T18:19:37.160Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-02T13:32:01.030Z,37.0468333,-97.7458333,3.59,2.13,ml,20,77,0.01538,0.06,ismpkansas,ismpkansas70149738,2015-11-02T22:40:15.009Z,"12km W of Caldwell, Kansas",earthquake
2015-11-02T12:07:18.320Z,37.0568333,-97.533,6.33,2.19,ml,22,104,0.06225,0.03,ismpkansas,ismpkansas70149723,2015-12-15T07:26:35.040Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-02T11:19:51.650Z,37.0563333,-97.5328333,6.25,1.99,ml,21,104,0.06181,0.04,ismpkansas,ismpkansas70149698,2015-11-02T23:11:23.690Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-02T11:16:44.140Z,37.057,-97.5305,6.41,2.08,ml,22,105,0.06097,0.04,ismpkansas,ismpkansas70149693,2015-12-15T07:24:11.040Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-02T11:10:32.350Z,37.0573333,-97.5325,6.04,1.86,ml,20,104,0.06232,0.04,ismpkansas,ismpkansas70149688,2015-11-03T00:07:42.150Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-02T07:26:55.130Z,37.0571667,-97.5308333,6.27,2.18,ml,22,105,0.06128,0.04,ismpkansas,ismpkansas70149643,2015-11-03T00:20:28.540Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-02T05:15:26.720Z,37.062,-97.5243333,6.21,1.81,ml,21,107,0.06156,0.04,ismpkansas,ismpkansas70149618,2015-11-03T00:31:51.920Z,"8km ENE of Caldwell, Kansas",earthquake
2015-11-02T03:19:05.420Z,37.0598333,-97.9366667,6.4,1.98,ml,20,76,0.07089,0.05,ismpkansas,ismpkansas70149583,2015-11-03T00:50:54.960Z,"13km SE of Anthony, Kansas",earthquake
2015-11-02T03:04:58.480Z,37.0581667,-97.9321667,5.94,1.84,ml,20,75,0.06952,0.06,ismpkansas,ismpkansas70149578,2015-11-03T01:00:49.560Z,"13km SE of Anthony, Kansas",earthquake
2015-11-01T11:53:38.490Z,37.06,-97.9351667,6.03,1.94,ml,18,76,0.06991,0.06,ismpkansas,ismpkansas70149333,2015-11-03T01:10:12.860Z,"13km SE of Anthony, Kansas",earthquake
2015-11-01T02:22:13.060Z,37.1221667,-97.6175,3.53,2.36,ml,20,109,0.01395,0.05,ismpkansas,ismpkansas70149178,2015-12-06T00:12:06.040Z,"10km N of Caldwell, Kansas",earthquake
2015-10-31T17:14:19.380Z,37.004,-97.5933333,6.22,2.33,ml,22,85,0.0929,0.04,ismpkansas,ismpkansas70149043,2015-12-15T15:10:06.040Z,"3km SSE of Caldwell, Kansas",earthquake
2015-10-31T16:23:48.690Z,37.0046667,-97.5931667,6.12,2.21,ml,22,85,0.09271,0.04,ismpkansas,ismpkansas70149023,2015-11-02T20:47:23.198Z,"3km SSE of Caldwell, Kansas",earthquake
2015-10-31T15:06:53.870Z,37.005,-97.5963333,6.05,2.24,ml,21,85,0.09521,0.05,ismpkansas,ismpkansas70149018,2015-12-04T18:05:44.040Z,"3km SSE of Caldwell, Kansas",earthquake
2015-10-31T04:17:51.920Z,37.0468333,-97.7438333,3.43,2.61,ml,21,77,0.01696,0.05,ismpkansas,ismpkansas70148903,2015-12-05T22:31:59.040Z,"12km W of Caldwell, Kansas",earthquake
2015-10-30T21:08:32.500Z,37.1268333,-97.6178333,3.92,1.9,ml,18,77,0.009288,0.05,ismpkansas,ismpkansas70148813,2015-11-02T19:17:52.760Z,"10km N of Caldwell, Kansas",earthquake
2015-10-30T20:03:49.050Z,37.0613333,-97.526,6.14,2.62,ml,22,106,0.06186,0.03,ismpkansas,ismpkansas70148803,2015-12-15T15:14:28.040Z,"7km ENE of Caldwell, Kansas",earthquake
2015-10-30T04:37:02.220Z,37.1523333,-97.6225,4.62,3.57,ml,21,69,0.01651,0.05,ismpkansas,ismpkansas70148648,2015-12-03T05:01:25.966Z,"13km N of Caldwell, Kansas",earthquake
